Node_ID,In_Degree,Out_Degree,Total_Degree
391,40,0,40
1447,40,0,40
7234,40,0,40
49,40,0,40
4171,40,0,40
7249,40,0,40
7269,40,0,40
3276,40,0,40
812,40,0,40
7308,40,0,40
79,40,0,40
4048,40,0,40
2362,40,0,40
2520,40,0,40
7293,40,0,40
2797,40,0,40
11711,40,0,40
2859,40,0,40
7260,40,0,40
16,40,0,40
7385,40,0,40
10074,40,0,40
7328,40,0,40
9663,40,0,40
2236,40,0,40
4680,40,0,40
3295,40,0,40
7240,40,0,40
7228,40,0,40
948,40,0,40
7244,40,0,40
7226,40,0,40
1097,40,0,40
4148,40,0,40
9770,40,0,40
951,40,0,40
2050,40,0,40
7241,40,0,40
75,40,0,40
2870,40,0,40
423,40,0,40
10678,40,0,40
11222,40,0,40
19223,1,38,39
22552,1,38,39
2060,39,0,39
23645,6,33,39
356,39,0,39
25916,1,38,39
273,39,0,39
2026,39,0,39
15938,1,38,39
3102,39,0,39
2095,39,0,39
4605,39,0,39
12123,1,37,38
2048,38,0,38
343,38,0,38
1233,38,0,38
1156,38,0,38
1517,38,0,38
32096,1,37,38
901,38,0,38
613,38,0,38
233,38,0,38
24761,4,34,38
8457,38,0,38
254,38,0,38
2132,0,38,38
256,38,0,38
1343,38,0,38
27411,1,37,38
988,38,0,38
23529,1,37,38
747,38,0,38
3609,37,0,37
1473,37,0,37
238,37,0,37
1927,37,0,37
13669,1,36,37
2446,37,0,37
1267,37,0,37
2485,0,37,37
20716,6,31,37
4533,37,0,37
9991,36,0,36
99,36,0,36
11001,36,0,36
7223,36,0,36
725,0,36,36
9751,36,0,36
3669,36,0,36
9981,36,0,36
3945,36,0,36
22362,5,31,36
1965,36,0,36
10010,36,0,36
10328,36,0,36
662,36,0,36
4373,1,35,36
2672,36,0,36
2009,36,0,36
2125,36,0,36
1641,36,0,36
2419,36,0,36
10453,36,0,36
24979,1,34,35
9730,35,0,35
21553,4,31,35
23530,3,32,35
22460,3,32,35
1869,0,35,35
1357,35,0,35
3292,35,0,35
1176,35,0,35
22745,34,0,34
2096,34,0,34
23440,34,0,34
138,34,0,34
19514,5,29,34
19526,3,31,34
20798,5,29,34
19686,5,29,34
1251,0,33,33
7956,33,0,33
205,33,0,33
8407,33,0,33
20651,3,30,33
24919,6,27,33
164,33,0,33
22579,3,30,33
22695,32,0,32
24017,3,29,32
22629,32,0,32
21345,5,27,32
22559,32,0,32
1166,32,0,32
7634,32,0,32
2150,32,0,32
1105,32,0,32
24029,4,28,32
23629,3,29,32
8687,31,0,31
16853,1,30,31
3404,31,0,31
7967,31,0,31
61,0,31,31
24451,3,28,31
23998,31,0,31
23617,2,29,31
8780,31,0,31
3025,31,0,31
7920,30,0,30
807,30,0,30
1389,30,0,30
23809,30,0,30
2320,30,0,30
8002,30,0,30
8973,0,30,30
4446,30,0,30
2039,30,0,30
31472,1,28,29
23886,29,0,29
5818,29,0,29
23989,3,26,29
31695,1,28,29
23428,3,26,29
19144,1,28,29
31139,1,28,29
24294,3,26,29
31626,1,28,29
5183,29,0,29
31521,1,28,29
1843,29,0,29
31480,1,28,29
22483,3,26,29
31309,0,29,29
25028,2,27,29
31491,1,28,29
20143,29,0,29
30982,1,28,29
2392,1,28,29
20208,1,28,29
31252,0,28,28
16844,0,28,28
1539,28,0,28
6712,28,0,28
31094,1,27,28
31089,0,28,28
31041,0,28,28
24971,3,25,28
27871,0,28,28
31009,1,27,28
28022,0,28,28
7324,0,28,28
31119,0,28,28
929,28,0,28
5399,28,0,28
31535,1,27,28
23910,2,26,28
3697,28,0,28
5291,0,28,28
3723,28,0,28
28571,0,28,28
28418,0,28,28
23743,3,25,28
31327,0,28,28
24794,3,25,28
22610,3,25,28
13652,0,28,28
8103,0,28,28
31551,1,27,28
31176,0,28,28
31076,0,28,28
21572,0,28,28
28826,0,28,28
817,28,0,28
1988,0,28,28
31029,0,28,28
31631,0,28,28
31496,0,28,28
20775,0,28,28
10223,28,0,28
28924,0,28,28
31451,0,28,28
31300,0,28,28
25122,0,28,28
28507,0,28,28
31006,0,28,28
31170,1,27,28
10715,0,28,28
31144,0,28,28
31148,0,28,28
767,0,28,28
31142,1,27,28
31351,0,28,28
8377,28,0,28
31563,0,28,28
28181,0,28,28
28321,0,28,28
31347,0,27,27
31049,0,27,27
31519,0,27,27
28151,0,27,27
31736,0,27,27
1588,27,0,27
1594,0,27,27
23840,0,27,27
27922,0,27,27
545,27,0,27
28268,0,27,27
31315,0,27,27
30971,0,27,27
28241,0,27,27
28514,0,27,27
15822,0,27,27
31178,0,27,27
28114,0,27,27
23909,0,27,27
19529,0,27,27
31445,0,27,27
31341,1,26,27
2200,27,0,27
29310,0,27,27
26132,0,27,27
24109,0,27,27
21117,27,0,27
31084,0,27,27
31090,0,27,27
31250,1,26,27
22375,2,25,27
21953,0,27,27
153,0,27,27
31150,0,27,27
7225,0,27,27
31471,1,26,27
23624,0,27,27
31588,1,26,27
17098,0,27,27
30979,1,26,27
24107,0,27,27
17467,0,26,26
23551,3,23,26
11107,0,26,26
15448,26,0,26
28625,0,26,26
952,26,0,26
31239,1,25,26
10238,0,26,26
31159,0,26,26
31646,1,25,26
4564,26,0,26
31185,0,26,26
28032,0,26,26
31135,0,26,26
31190,1,25,26
28562,0,26,26
29261,0,26,26
9983,0,26,26
31069,0,26,26
1639,26,0,26
31333,0,26,26
31431,1,25,26
31580,0,26,26
28299,0,26,26
16164,0,26,26
3172,26,0,26
31166,0,26,26
25747,0,26,26
31114,0,26,26
29334,0,25,25
31075,1,24,25
31103,0,25,25
20109,0,25,25
28714,0,25,25
27875,0,25,25
28781,0,25,25
27367,0,25,25
743,0,25,25
31156,0,25,25
30965,1,24,25
6024,25,0,25
28873,0,25,25
31603,0,25,25
24896,3,22,25
24300,0,25,25
1647,25,0,25
31051,0,25,25
13811,0,25,25
31227,0,25,25
214,0,25,25
12609,0,25,25
31312,0,25,25
28130,0,25,25
14204,25,0,25
27906,0,25,25
8040,25,0,25
1664,25,0,25
19980,3,22,25
2295,0,25,25
31542,1,24,25
2525,0,25,25
28994,0,25,25
9033,25,0,25
23205,25,0,25
31000,0,25,25
29976,0,25,25
28293,0,25,25
2924,0,25,25
31404,0,25,25
23467,1,24,25
28580,0,25,25
31565,0,25,25
31248,1,24,25
20484,0,25,25
1486,1,24,25
24652,0,25,25
2995,25,0,25
24296,0,25,25
25610,0,25,25
31388,0,25,25
5859,24,0,24
24252,0,24,24
28830,0,24,24
21424,1,23,24
27957,0,24,24
3990,0,24,24
28740,0,24,24
31262,0,24,24
28326,0,24,24
25007,24,0,24
31050,0,24,24
31400,0,24,24
1529,0,24,24
11722,0,24,24
31165,1,23,24
31187,1,23,24
31116,0,24,24
31514,1,23,24
31209,0,24,24
7773,24,0,24
24633,0,24,24
31186,0,24,24
28840,0,24,24
29032,0,24,24
20343,0,24,24
31298,0,24,24
25756,1,23,24
19530,0,24,24
13422,0,24,24
31466,0,24,24
1969,0,24,24
28140,0,24,24
31224,1,23,24
31102,1,23,24
10262,0,24,24
31560,0,24,24
16942,0,24,24
31470,0,24,24
28291,0,24,24
6053,24,0,24
30957,0,24,24
31313,1,23,24
27893,0,24,24
10275,0,24,24
28173,0,24,24
28630,0,24,24
11456,1,23,24
6546,24,0,24
20076,0,24,24
31584,1,23,24
31363,0,24,24
31620,0,24,24
9775,0,24,24
31393,0,24,24
31608,0,24,24
20133,0,24,24
28485,0,24,24
27885,0,24,24
29100,0,24,24
23644,0,24,24
29066,0,24,24
26886,0,24,24
1832,0,24,24
27928,0,23,23
28208,0,23,23
28192,0,23,23
28176,0,23,23
17172,0,23,23
24883,0,23,23
31495,0,23,23
12688,0,23,23
705,0,23,23
31467,0,23,23
28503,0,23,23
29027,0,23,23
31355,0,23,23
28638,0,23,23
28670,0,23,23
31216,1,22,23
1194,0,23,23
31534,0,23,23
24285,8,15,23
31482,1,22,23
27949,0,23,23
31299,0,23,23
28884,0,23,23
3854,23,0,23
314,0,23,23
29006,0,23,23
31418,0,23,23
31141,0,23,23
18924,1,22,23
10977,0,23,23
31229,0,23,23
31463,1,22,23
24226,0,23,23
31074,1,22,23
5248,23,0,23
31368,1,22,23
24034,0,23,23
29165,0,23,23
16465,0,23,23
30998,0,23,23
28244,0,23,23
28315,0,23,23
31043,1,22,23
31238,0,23,23
31424,0,23,23
23665,8,15,23
31182,1,22,23
28126,0,23,23
28350,0,23,23
24820,0,23,23
31037,0,23,23
12057,0,23,23
564,0,23,23
31203,0,23,23
620,0,23,23
27944,0,23,23
20241,23,0,23
1898,23,0,23
24132,0,23,23
31581,0,23,23
15754,0,23,23
31125,1,22,23
31202,0,23,23
28709,0,23,23
30988,1,22,23
24015,0,23,23
28109,0,23,23
31598,0,23,23
20981,1,22,23
17048,0,23,23
31253,0,23,23
31511,0,23,23
25056,0,23,23
22910,23,0,23
20918,2,21,23
10415,23,0,23
31120,1,22,23
27971,0,23,23
23523,0,23,23
31290,0,23,23
2244,0,23,23
30031,1,22,23
16312,0,23,23
27955,0,23,23
3845,0,23,23
30972,0,23,23
31152,0,23,23
28650,0,23,23
10762,0,23,23
11229,0,23,23
20157,0,23,23
31507,0,23,23
31383,0,23,23
31702,0,23,23
161,0,23,23
31276,0,23,23
31359,0,23,23
877,23,0,23
24692,0,23,23
31460,0,23,23
31169,0,23,23
31376,0,23,23
31576,1,22,23
4184,23,0,23
31366,1,22,23
28950,0,23,23
28202,0,23,23
5383,23,0,23
5750,23,0,23
31348,1,22,23
4372,19,4,23
31465,0,23,23
28112,0,23,23
31063,0,23,23
31458,0,23,23
28252,0,23,23
29405,0,23,23
31453,1,22,23
28908,0,23,23
26799,0,23,23
31428,0,23,23
28209,0,22,22
31379,0,22,22
2092,2,20,22
2991,22,0,22
27920,0,22,22
11698,0,22,22
28123,0,22,22
1312,0,22,22
2071,0,22,22
28919,0,22,22
31194,0,22,22
29060,0,22,22
23521,0,22,22
28174,0,22,22
31602,1,21,22
31019,0,22,22
26045,0,22,22
31245,0,22,22
28696,0,22,22
31183,0,22,22
30973,0,22,22
28787,0,22,22
31184,0,22,22
28011,0,22,22
24547,0,22,22
2937,1,21,22
27874,0,22,22
27974,0,22,22
24186,0,22,22
24164,0,22,22
31199,0,22,22
28838,0,22,22
16081,0,22,22
31010,0,22,22
16971,0,22,22
31426,0,22,22
10166,0,22,22
19788,0,22,22
19903,0,22,22
3888,22,0,22
28020,0,22,22
23635,0,22,22
28818,0,22,22
3210,22,0,22
18397,0,22,22
18455,0,22,22
31261,0,22,22
28948,0,22,22
24263,0,22,22
31408,0,22,22
28290,0,22,22
4509,22,0,22
23469,0,22,22
31011,0,22,22
31687,0,22,22
28219,0,22,22
30849,0,22,22
28823,0,22,22
31430,1,21,22
27932,0,22,22
4664,0,22,22
31406,0,22,22
10499,0,22,22
29021,0,22,22
31038,0,22,22
26595,0,22,22
29294,0,22,22
30961,0,22,22
28187,0,22,22
31582,0,22,22
7254,22,0,22
31200,0,22,22
31461,0,22,22
31364,0,22,22
17878,0,22,22
235,0,22,22
23438,0,22,22
31648,0,22,22
30987,0,22,22
28370,0,22,22
31055,1,21,22
4322,0,22,22
31279,0,22,22
26792,0,22,22
28416,0,22,22
16176,0,22,22
12589,1,21,22
31021,0,22,22
31034,0,22,22
23604,0,22,22
31439,0,22,22
21051,0,22,22
28476,0,22,22
28260,0,22,22
28337,0,22,22
29197,0,22,22
1395,22,0,22
30969,0,22,22
30992,0,22,22
31287,0,22,22
28366,0,22,22
28622,0,22,22
31344,0,22,22
31457,0,22,22
1866,0,22,22
31104,0,22,22
31198,0,22,22
28162,0,22,22
31005,0,22,22
31263,0,22,22
31189,0,22,22
31110,0,22,22
24708,0,22,22
30990,0,22,22
24309,0,22,22
11417,0,22,22
5132,0,22,22
5126,22,0,22
31640,0,22,22
24610,0,22,22
27867,0,22,22
2395,0,22,22
31154,0,22,22
28968,0,22,22
31077,1,21,22
29153,0,22,22
1580,1,21,22
2333,0,22,22
17273,0,22,22
27791,0,22,22
28479,0,22,22
31571,0,22,22
24265,0,22,22
28535,0,22,22
31412,0,22,22
15641,0,22,22
31367,0,22,22
30968,0,22,22
31221,0,22,22
31284,1,21,22
31274,0,22,22
31498,0,22,22
341,22,0,22
3132,0,22,22
28991,0,22,22
30827,0,22,22
28801,0,21,21
28798,0,21,21
31204,0,21,21
28118,0,21,21
31188,0,21,21
28410,0,21,21
27857,0,21,21
24255,0,21,21
28746,0,21,21
31162,0,21,21
31492,0,21,21
31549,0,21,21
31233,0,21,21
22773,21,0,21
31267,0,21,21
28001,0,21,21
23417,0,21,21
19942,0,21,21
20765,0,21,21
31420,0,21,21
31124,0,21,21
21559,0,21,21
30983,0,21,21
1262,0,21,21
28785,0,21,21
28147,0,21,21
25465,0,21,21
25775,0,21,21
27914,0,21,21
1933,0,21,21
11966,0,21,21
28079,0,21,21
31405,0,21,21
21190,0,21,21
11550,0,21,21
5469,21,0,21
12640,1,20,21
4850,21,0,21
28400,0,21,21
2045,0,21,21
26816,0,21,21
32115,1,20,21
27057,0,21,21
2352,0,21,21
23591,3,18,21
29094,0,21,21
24642,0,21,21
29438,0,21,21
20327,0,21,21
31130,0,21,21
28681,0,21,21
31382,0,21,21
6200,21,0,21
24094,0,21,21
8235,21,0,21
5221,21,0,21
2954,0,21,21
30999,0,21,21
9790,0,21,21
3390,21,0,21
26587,0,21,21
31132,0,21,21
13626,0,21,21
2001,21,0,21
27960,0,21,21
16157,0,21,21
23622,0,21,21
1910,20,0,20
19996,0,20,20
32288,1,19,20
2015,20,0,20
10638,0,20,20
7573,20,0,20
27831,1,19,20
31281,1,19,20
6060,20,0,20
27255,0,20,20
3698,1,19,20
31193,1,19,20
4100,20,0,20
3471,0,20,20
6172,20,0,20
19140,1,19,20
10751,1,19,20
1984,20,0,20
2183,0,20,20
4459,20,0,20
31121,0,20,20
16428,1,19,20
428,0,20,20
28230,0,20,20
3641,20,0,20
628,20,0,20
2171,20,0,20
5284,20,0,20
4734,20,0,20
28457,0,20,20
2713,0,20,20
31259,0,19,19
21752,0,19,19
4221,19,0,19
31402,1,18,19
31617,0,19,19
16979,1,18,19
820,19,0,19
16135,1,18,19
16166,0,19,19
3507,1,18,19
31164,0,19,19
28348,0,19,19
1089,19,0,19
23832,19,0,19
31201,0,19,19
28311,0,19,19
31821,0,19,19
28870,0,19,19
10246,0,19,19
28063,0,19,19
2962,0,19,19
29346,0,19,19
31595,1,18,19
22530,19,0,19
576,0,19,19
31138,1,18,19
31672,1,18,19
2304,1,18,19
29169,1,18,19
31456,0,19,19
291,19,0,19
6718,19,0,19
8012,19,0,19
21916,1,18,19
31035,1,18,19
19751,0,19,19
9754,0,19,19
31212,1,18,19
28800,0,19,19
27989,0,19,19
26641,0,19,19
30993,0,19,19
31015,1,18,19
28129,0,19,19
21876,19,0,19
31422,0,19,19
4562,0,19,19
3392,0,19,19
17307,0,19,19
21546,19,0,19
4516,19,0,19
27912,0,19,19
31228,1,18,19
18325,1,18,19
31307,0,19,19
30915,0,19,19
31664,0,19,19
31086,0,19,19
1626,19,0,19
2008,0,19,19
32289,1,18,19
29072,0,19,19
31629,1,18,19
15974,0,19,19
34,19,0,19
31594,0,19,19
31452,0,19,19
30989,1,18,19
30954,0,19,19
1500,19,0,19
10606,19,0,19
29248,0,18,18
6221,18,0,18
31232,1,17,18
5721,18,0,18
3364,18,0,18
30384,0,18,18
1192,1,17,18
5191,18,0,18
31610,0,18,18
31349,0,18,18
31419,1,17,18
30970,0,18,18
2057,1,17,18
3443,1,17,18
28891,0,18,18
31356,0,18,18
28146,0,18,18
1719,1,17,18
28094,0,18,18
3952,18,0,18
2080,1,17,18
28877,0,18,18
2953,1,17,18
28721,0,18,18
31052,1,17,18
31179,1,17,18
31210,0,18,18
24166,0,18,18
23406,0,18,18
31628,0,18,18
376,0,18,18
11128,0,18,18
29168,0,18,18
1316,18,0,18
27882,0,18,18
2902,2,16,18
27063,18,0,18
31719,1,17,18
1204,18,0,18
481,18,0,18
30994,1,17,18
3843,0,18,18
30963,0,18,18
28555,0,18,18
28246,0,18,18
21360,1,17,18
23875,1,17,18
27968,0,18,18
31278,0,18,18
11211,0,18,18
17182,1,17,18
4095,1,17,18
19945,0,18,18
31247,1,17,18
29209,0,18,18
28068,0,18,18
21037,0,18,18
31520,0,18,18
13687,1,17,18
1211,0,18,18
29043,0,18,18
28487,0,18,18
24083,0,18,18
28222,0,18,18
9897,0,18,18
2993,1,17,18
28255,0,18,18
20554,0,18,18
31627,0,18,18
1905,0,18,18
31397,1,17,18
